GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OperationTheater OMOD,org.openmrs.module.operationtheater.extension.html,AdminList,2,16,0,0,1,5,1,3,1,3
OperationTheater OMOD,org.openmrs.module.operationtheater.web.controller,OperationTheaterController,24,0,2,0,8,0,5,0,4,0
